Description,Address,Price(Rands),Bedrooms,Bathrooms,Toilets,Garage
Dual living,Brandwood,1895000,4,3.0,3,1
"Privacy, safety and comfortability",Observation Hill,1930000,3,3.0,3,2
Pristine Flat in De Velde with Views,"De Velde, 1186 De Velde",1670000,3,2.0,2,0
Estate retreat far removed from the hectic pace of city life,"Parys Golf & Country Estate, 3152 Blue Crane",280000,0,0.0,0,0
Neat Cluster for the beginners,Naturena,550000,2,1.0,0,0
Secure Estate Living......Great Country feeling!,Murrayfield,2950000,3,2.5,0,0
Great family home for sale Geelhout Park,Geelhoutpark,930000,3,3.0,0,0
Small family flat,Vanderbijlpark CW 1,275000,2,1.0,1,0
"Umbilo - 1 Large bedroom - Share Blocks, with only 6 units.",Umbilo,535000,1,1.0,1,0
A Classic For the Whole Family - 2 in One,Sarnia,1995000,6,3.0,3,0
Beautiful Country Side Views,Cintsa East,2495000,3,2.0,3,3
Stunning and Spacious Townhouse for Sale!,"Country View, 43 Country View Estate, Sonneblom Street",900000,2,2.0,2,1
"6 Bedroom House For Sale in Voelklip, Hermanus",Voelklip,P.O.A.,6,6.0,6,3
Beautiful Luxurious 4 Bedroom House in Franskraal,"Franskraal, 85 Marais Street",2950000 ,4,3.0,4,2
Refined Elegance,"Diaz Beach, 51/404 Beach Boulevard",2880000,2,2.0,0,0
Neat as a pin investment not to be missed.,"Riversdale, 11 Mulder street",1400000,3,1.0,0,0
A Picture Of Good Taste And Style,Vanderbijlpark SW 1,1560000,3,2.0,2,2
Renovators Dream! Country Living!,Leeuwenkloof AH,1500000,4,2.0,0,0
calling all investors,Rustenburg Central,350000,1,1.0,0,0
A Guest House? A Large Family Home? Develop the Property?,Amanzimtoti,6490000,6,3.0,4,1
Make this your next family home!,Observation Hill,1455000,5,4.0,4,2
Bachelors flat up for Grabs!!,Rustenburg Central,360000,1,1.0,1,0
A House with a View - What A Find!,Reservoir Hills,1850000,4,3.0,3,2
Investor's Dream,Fairview Golf Estate,695000,2,1.0,0,0
Entertainers Delight. Corner Plot. Close to all Amenities.,"Edgemead, 1 Honnet Close",3195000,3,3.0,3,1
Excellent duplex in Sasolburg Veterinarian area.,Sasolburg,660000,2,2.0,3,0
"Property for sale in Romansbaai Estate, Gansbaai","Romansbaai Estate, 347 Oystercatcher Road",1452000,0,0.0,0,0
Great potential Big stand with two houses East End,Oos Einde,2172000,4,2.0,2,2
Tomorrow`s styling for todays people,Canals,13500000,5,5.0,2,0
"Land For Sale,Engonyameni",Engonyameni,90000,0,0.0,0,0
"554 on Windermere, ""a picture of good taste and style""",Morningside,1450000,2,1.0,1,1
The Perfect Package of Style Comfort and Security,Dalpark,2250000,5,2.0,2,3
New of the market  Spacious Townhouse,Paulshof,1295000,3,2.5,3,0
Spacious Family home in a Secured area in Aston Manor,Aston Manor,2100000,4,3.0,3,2
Snap up this great investment,Kenleaf,2400000,3,2.0,3,3
Family Home Near Bergsig,Bo Dorp,1085000,3,2.0,2,1
4x bedroom family home,Sunnyridge,900000,4,1.5,1,1
Big Townhouse in a safe Complex in Boschdal,Boschdal,1590000,3,2.0,2,2
Stunning Large family home,Aviary Hill,1710000,4,2.0,2,0
"23 Maple Rd ""Joungfrau"" 2 Bed 1 Park""A Golden opportunity""",Morningside,935000,2,1.0,1,0
On the Beach,Jeffreys Bay Central,1595000,2,2.0,2,2
Build your dream home that is minutes away from the beach,"Westbrook, 29 Acacia Crescent",1908000,0,0.0,0,0
Great Investment Home,Tlhabane West,750000,3,2.0,0,0
The one you have been waiting for,Santareme,2750000,3,2.0,0,0
Supreme Spot On Golf Course!,Simbithi Eco Estate,11950000,4,3.5,4,2
Peace in a safe estate!,Cashan,5790000,3,3.0,3,2
Newly Renovated,Tlhabane West,860000,4,2.0,3,0
Modern Lock-Up Go Unit in Classical Heights - Highveld Park,Hoeveld Park,598000,2,1.0,1,0
Light and Space as an Art,"Mossel Bay Golf Estate, 143 Pardew",5850000,3,3.0,4,2
This gem of a house is a solid family home in a great neighb,Vanderbijlpark SW 5,2720000,4,3.0,3,2
No objections! Perfectly located with dazling views.,Mountain View,2850000,7,3.0,0,0
Development opportunity - vacant farm land for sale Paarl,"Paarl Central, 1 Vlakkeland",6400000,0,0.0,0,0
Confortable Family Home plus Flat.,Die Wilgers,2250000,4,3.0,3,2
Two Bedroom flat in Waterval East,Waterval East,450000,2,1.0,1,0
Awaiting Your Personal Touch!,Kriel,1270000,3,2.0,2,3
Magnificent location and historical value on offer.,"Riversdale, 1 Long street",3250000,7,6.0,2,0
Family Home I Want To Buy You Now,Waterval East,1124000,3,2.0,2,0
Newly Renovated,"Stellendale, 66 Newlands Crescent",1095000,3,1.0,0,0
Renovated Family Home in Sterling,Stirling,3495000,3,2.0,2,2
Brand new three bedroom for sale in Amandasig,"Pretoria North, 50/10 Manna Avenue",1460000,3,2.0,2,2
New development in Pretoria North,Amandasig,1460000,3,2.0,3,2
One bedroom flat in secure complex,Witbank Ext 5,430000,1,1.0,1,0
Well Loved Lock up and Go,"Stellendale, 62 Bishops Court Crescent",1349000,3,2.0,2,0
"Tara, Durbanville R6,995,000","Tara, 3 Pioneer Road",6995000,5,5.0,2,0
Well priced modern concrete and glass development,Waterkloof Ridge, 3 600 000,3,2.5,3,2
Family home close to schools with flatlet,Parys,750000,3,2.0,2,0
Stunning 4 Bedroom House For Sale in Golden Gardens,Golden Gardens,945000,4,3.0,3,2
Lake side Tranquility on Val de Vie Estate,Val de Vie Estate,16800000,4,3.5,3,0
High Roller!,Arboretum,2320000,3,3.0,3,0
Take A Closer Look,Jeffreys Bay Central,1185000,2,1.0,0,0
Three Bedroom Home in Secure Estate in Port Alfred,"Port Alfred, 4 Two Alfred Road",1950000,3,3.0,0,0
Mt Simon - Security Estate - 2 bedroom townhouse for sale,Stellenbosch Central,1600000,2,2.0,2,1
Not A Cent To Be Spent,"Jabulani, 1Jabulani/1 Iqaqa Street",570000,2,1.0,1,0
Excellent buy in quiet neighbourhood,Humansdorp,885000,3,2.5,1,0
A beautiful apartment on the South Beach of Durban,South Beach,300000,1,1.0,1,0
Stand lose to the sea,"Yzerfontein, 62 Dassen Island",1300000,0,0.0,0,0
Showstopper in Stratford Gardens - Broadacres,Broadacres,5500000,4,3.5,4,3
"Sea View, Wheelchair-Friendly Home",Cintsa East,2650000,5,5.0,5,0
Rental Income Investment or Renovators Dream...,"Vincent, 1 Gardens Place",2395000,8,5.0,0,0
Exceptionally Located Home!,"Struisbaai, 934 Clionella",8450000,9,6.0,6,1
3 bedroom doublestorey townhouse in Cashan,Cashan,1525000,3,2.0,6,0
Owner Sadly Relocating,Queensview Park,820000,3,1.0,1,0
Beautiful Duplex in the heart of Safari Gardens,Safari Gardens,2380000,4,2.0,3,2
Townhouse for Sale in Morningside,"Morningside, 2 Springwood, Tempest Road",1900000,2,2.0,3,0
1 Bedroom Flat walking distance to all amenities,Witbank Ext 5,408000,1,1.0,1,0
A Perfect Place to Live,"St Francis Bay Rural, Ptn 194/Farm 745 Goed Geloof Candle Wood Estate, Oyster Bay Road",715000,0,0.0,0,0
Settler Home with Three Bedroom Flat for sale in Bathurst,"Bathurst, 86 Trappes Street",1600000,2,1.0,0,0
Stunning modern cluster!,Helderwyk,695000,2,2.0,0,0
Superb Investment- Townhouse for Sale,"Kosmosdal, 47/01 Honeybuzard",600000,1,1.0,1,0
"Winterskloof, Hilton","Hilton, 13/15 Milnerdale, Dennis Shepstone Road",2100000,3,2.0,1,0
Magnificent Mansion On Mentone Road,"Morningside, 44 Mentone Road",19500000,5,4.5,6,4
Contemporary Executive Apartment!,"Sandown, 914/86 Hydro Park, Grayston Drive",2500000,2,2.0,3,0
Cozy 3 bedroom house in Riversdale,"Riversdale, 10 Formosa",1450000,3,2.0,3,0
Spacious home,Vanderbijlpark SE 7,1680000,3,2.0,3,2
"Lovely 3 Bed Home,Yellowwood Park",Yellowwood Park,1895000,3,2.0,2,1
Spacious 3 Bedroom Family Home in Beyers Park,Beyers Park,2380000,3,3.0,3,2
Three Bedroom House,"Bluff, 3 Aiken Place",1495000,3,1.0,1,2
Perfect prestigious family home or enviable holiday retreat,Emfuleni Golf Estate,4800000,6,6.0,1,0
"2 Spacious homes, each with 3 beds and 2 baths - Rynfield",Rynfield,2300000,3,2.0,3,2
"Don't miss out, call our numbers",Osizweni,590000,2,1.0,1,1
Sole Mandate,Unitas Park,220000,0,0.0,0,0
Upmarket home on the sought after Garlington Promenade.,"Garlington Estate, 18 4th Close",8500000,4,4.0,4,2
Land in a beautiful area of Benoni AH,Benoni Small Farms,1480000,0,0.0,0,0
Upmarket and Trendy Executive Suite!,"Sandown, 143 West Street",3699990,1,1.0,2,0
"4th floor unit in secure complex in Denlee,  Germiston","Denlee, 403 Lake Club Apartments,  10 Lake road",665000,3,2.0,2,0
Ideal unit for beginners direct from the developer,"Raslouw, 13/25 Philirene Road",1028285,2,2.0,0,0
Very good investment direct from the developer,"Raslouw, 9/25 Philirene Road",1059165,2,2.0,0,0
Buy brand new unit direct from the developer,"Raslouw, 8/25 Philirene Road",960667,2,1.0,0,0
Golden Oldie in Prime Hillcrest Park,Hillcrest Park,2390000,3,2.5,0,0
Brand new units direct from the Developer,"Raslouw, 6/25 Philirene Road",957403,2,1.0,0,0
Under offer,"Bredasdorp, 13 Roux street",325000,0,0.0,0,0
Wanted: Young Couple!,Pretoriuspark,920000,2,2.0,1,0
3 Bedroom House for Sale in Kleine Parys estate 2,"Klein Parys, 1 Carolina Avenue",3750000,3,2.0,2,2
Under Offer,"Bredasdorp, 2 Kloof street",1850000,5,2.0,2,2
Quiet Tree-Lined Setting In Prime Location,"Swellendam, 5 Uitsig Avenue",2690000,4,2.0,2,2
Central  Position,Musgrave,1895000,3,1.0,2,1
Stunning Breakers find,Umhlanga Rocks,2100000,2,1.0,1,0
Brand new Town House direct from the Developer,"Raslouw, 8/25 Philirene Road",2009875,3,2.0,1,1
Secure estate living in Amandasig,"Amandasig, 6522 Mositsana Street",1629450,3,2.0,2,2
Top Town Kings Row,"Top Town, 1 kings way",1180000,3,2.0,2,1
Newly Renovated Family Home,"Glenashley, 20 Lydia Drive",3500000,3,2.0,2,0
Sought after Falcon Crest Retirement Estate,Bothas Hill,1100000,2,2.0,2,1
A perfect escape from the city and busy work life!,Unitas Park,1900000,4,2.0,1,3
"Family home with flat, Flamwood, Klerksdorp.",Flamwood,1575000,4,3.0,3,3
Defined Luxury - Spectacular Home for sale in Seemeeu Park.,Seemeeu Park,3600000,3,2.0,3,0
Sought after address,"Yzerfontein, 25 Buitekant",7200000,5,4.0,5,3
Two Bedroom Unit Near The Beach for Sale in Port Alfred,"Port Alfred, 29 Settler Sands",1070000,2,1.0,2,2
Modern 2 Bed Beach Apartment,Big Bay,2000000,2,1.0,1,0
Big family? No problem!,"General Albertspark, 7 Amandel Street",1590000,4,1.0,1,0
Must buy townhouse!!!,Safari Gardens,1400000,3,2.0,2,2
Old and Quaint - but-up-to-date!,Parys,640000,3,1.0,1,1
Lovely 3 bedroom duplex townhouse in Birchleigh,Birchleigh,720000,3,1.5,2,2
Beautiful face brick townhouse with a study for sale,Van Riebeeck Park,850000,2,2.0,3,2
Supersized Secure 4 bedroom family cluster,"Lonehill, 65 Olympus Crescent",3150000,4,3.0,3,0
2 Bedroomed 2 Bathroom Apartment For Sale,"Bloubergrant, 10/40 Coral Road",1899000,2,2.0,2,1
Estate Living is Smart Living,"Roseacre, 357/70 Henderson",1390000,3,2.0,2,1
Richmond Hill - Popular The Bayloft Apartments,"Richmond Hill, 47 The Bay Lofts, 19 Campbell Street",395000,1,1.0,0,0
Three Bedroom Townhouse on the Beachfront in Port Alfred.,"Port Alfred, 36 Settler Sands West Beach Drive",1299000,3,2.5,0,0
Vacant Stand in Secure Complex For Sale in Albertinia!,Albertinia,260000,0,0.0,0,0
Old Style Family Home,"Malvern, 61 Huntley Road",1400000,3,2.0,2,3
Three bedroom house for salein Villa liza !!,Villa Liza,660000,3,1.0,1,1
River Wood Eco Estate,Cove Rock,850000,3,2.0,0,0
Beachfront position with Seaviews!,"Compensation Beach, 00 The Bay/40 Compensation Beach Rd",2980000,3,2.0,2,0
A Property with Business Potential!,Louis Trichardt,2150000,5,3.0,4,1
Stunning family home that has everything,Belmont Park,1550000,3,1.0,2,1
Two bedroom duplex unit in Crystal Park,Crystal Park,639000,2,2.0,2,1
Lovely family home in the heart of Widenham,"Widenham, 4 Lyndhurst Place",1395000,3,3.0,3,2
New Exclusive Development in Bedfordview,Bedfordview,5500000,4,4.0,5,2
Neat and spacious one bedroom townhouse for sale,Crystal Park,439000,1,1.0,1,0
Masterpiece Owner Built By An Engineer = Solid,"Vierlanden, 3 Vue Des Monts",5795000,3,3.0,1,0
Ground floor two bedroom unit in Elandspoort,"Elandspoort, 5/72 Taita Falcon",699000,2,1.0,1,0
Duplex available in The Orchards,The Orchards,699000,3,2.0,2,2
Breathtaking Home,"La Lucia, 46 William Campbell Drive",4950000,4,3.0,3,2
"Loevenstein Spacious 1 Bedroom Apartment, Neat as a Pin!",Loevenstein,890000,1,1.0,1,1
Spacious two bedroom unit.,"Escombe, 20/125 Blundell Road",1300000,2,2.0,2,1
Well built and Spacious.,"Shallcross, 109 Remashvar Road",1650000,5,3.0,3,3
Executive Double Storey Lifestyle Home in Reyno Ridge,Reyno Ridge,5000000,9,5.0,5,6
Is space what you are looking for?,"Kriel, 9 Robin close",1200000,4,2.0,2,1
It is all about the lifestyle,Num Num Cape Estate,815000,0,0.0,0,0
Tranquil living and peace of mind.,"Marina Da Gama, 22 Red Roman Way",1650000,3,1.0,0,0
Stunning Beachside Studio,Table View,1190000,1,1.0,1,0
Brand new Estate in Centurion,Peach Tree Estate,1580000,3,2.0,1,0
Vacant Stand for Sale in Bathurst,Bathurst,120000,0,0.0,0,0
Vacant stand availible,Num Num Cape Estate,815000,0,0.0,0,0
"Immaculate, large, waterfront home!!!","The Coves, 3 Oyster Cove",2350000,3,3.0,3,2
Nature on your doorstep,Num Num Cape Estate,1050000,0,0.0,0,0
A super luxurious home,Helderwyk,4200000,5,4.0,0,0
Get ready to move in!,Boitekong,480000,2,1.0,1,0
Largest stand in Boksburg for sale.,Farrar Park,1650000,3,2.0,3,2
Lock up & Go Flat in Safari Gardens,Safari Gardens,590000,2,2.0,2,0
Cape Dutch Guest House With Peaceful Surroundings,"Swellendam, 268 Voortrek Street",8500000,8,8.0,0,0
INVESTORS dream. . . in Sunnyridge...,Sunnyridge,820000,6,3.0,0,0
109 sqm Pet-friendly 2-Bed 1-Garage Townhouse in Rhodesfield,"Rhodesfield, 30 Lieberstein, 8 Fortress Road",620000,2,1.0,0,0
Vanderbijlpark CW3:  Affordable Apartment Close to Town,Vanderbijlpark CW 3,420000,2,1.0,1,1
Two bedroom apartment in Elandspoort,"Pretoria West, 29/72 Taita Falcon",639000,2,1.0,1,0
Second floor apartment in Pretoria West,"Elandspoort, 40/72 Elands Rock",629000,2,1.0,1,0
"Lovely 2 Bed Flat,Montclair",Montclair,750000,2,1.0,1,1
3 Bedroom Apartment / Flat for Sale in Strand South,Strand,4750000,3,2.0,3,2
Coastal lifestyle on a golf estate,"Pennington, 1 1358, R102 Pen Valley Estate",350000,0,0.0,0,0
This is the perfect family home,Minnebron,980000,3,1.0,1,0
Apartment in retirement complex,"Scottburgh Central, 132/22 Summerhill lodge, Arbuthnot street",550000,1,1.0,1,0
Retire at Summerhill Lodge on the South Coast,"Scottburgh Central, 131/22 Summerhill Lodge, Arbuthnot  Street",690000,1,1.0,1,1
The home for every one,"Clansthal, 19 Palmkloof drive",1995000,3,2.0,1,0
Beautiful residence close to local attractions,"Scottburgh Central, 22 Galway Street",2750000,7,7.0,1,0
Shelley Point - Plot & Plan for Sale,"Shelley Point, 33 31st Street",1995000,3,2.0,2,2
Make an offer !,Sylviavale,550000,2,2.0,1,0
That Perfect Address.,Waterkloof,5400000,4,4.0,5,3
Great home for investor or big family. 7 Bedroom 4 Bathroom,Actonville,970000,4,2.0,2,0
Mountainlands Nature Reserve Private Stand,Barberton,3150000,0,0.0,0,0
Regal Residence in Distinguished Everton Estate,"Kloof, 2 Seven Acres, 63 Everton Road",7950000,5,4.0,0,0
"New development: 3 bedroom house at Du Vin Estate, Raslouw!","Raslouw, 1337 Savignon",1892441,3,2.0,0,0
Living in a secured Estate,Brakpan North,920000,2,1.0,2,0
Light and sunny apartment with sea views in Golf Beach,Greenways Golf Estate,1270000,2,1.0,0,0
Contemporary Dual Living at its Best in Security Estate,"Somerset Forest, 47 Blue Rock Road",4260000,6,4.0,6,4
Brand new! Modern three bedroom apartment in Du Vin estate,"Raslouw, 46/23 Philirene Road",1455959,3,2.0,2,0
Brand New! Upmarket two bedroom apartment in Du Vin Estate,"Raslouw, 41/23 Philirene Road",1182919,2,2.0,2,0
Brand New! Three bedroom house in Du Vin Estate,Raslouw,1892441,3,2.0,2,2
Freshly refurbished apartment overlooking Durban,Morningside,1550000,3,2.0,2,1
Alluring low maintenaince property,Petersfield,2480000,4,2.0,2,2
"Plot For Sale in Fisherhaven, Hermanus","Fisherhaven, 28 Miramar Road",885000,0,0.0,0,0
"Well secured and well located.  Wilkoppies, Klerksdorp",Wilkoppies,2200000,4,4.0,3,2
Well Located Upmarket Family Home,Aliwal North,3180000,4,3.0,3,0
Mooi River Country Club access onto golf course @ R785k,"Mooi River, 5 EAST END DRIVE",785000,3,1.0,1,0
"Super Neat , Private and spacious! Pet fiendly, Fibre","Bergbron, 9Turnstone/1 Hoekberg Street",1100000,3,1.0,2,1
Modern architectural style in new popular Lifestyle Estate,"New Salt Rock City, 9/1 New Salt Rock Drive",1850000,2,2.0,2,1
Unit 15 House,Mafikeng Central,850000,3,1.0,0,0
Absolutely Beautiful,Safari Gardens,3350000,4,3.0,3,2
Sunny & Bright with a view to Kill!,Menlyn,970000,2,2.0,3,0
Space & Comfort,Waterval East,799000,2,2.0,2,1
Executive living,Beacon Bay,1095000,2,2.0,2,0
On offer a beautiful 3 bedroom home in garden village,Daveyton,1200000,3,2.0,2,0
Neat and Tidy Exclusive Home with a Pool,Kleinbosch,2975000,4,2.0,2,2
"Position, Privacy, Perfection.",Brakpan North,590000,2,2.0,2,0
"Superb space, area and finishes!",Aviary Hill,3400000,5,3.0,3,3
Lovely starter home! Ground floor unit,"Meredale, 9/10 Ulster Road",620000,2,1.0,1,0
Motivated Seller!,Aston Bay,1850000,5,3.0,1,0
"Winterskloof, Hilton",Hilton,3300000,4,2.0,3,1
Splendid Beachfront Apartment,"Table View, 1001/87 Coral Road",5983999,2,2.0,2,0
Set is the perfect street in Hutten-heights,Huttenheights,1900000,5,3.0,3,2
Fixer Upper in Cosmo City!,"Cosmo City, 20 Serbia Crescent",750000,3,1.0,0,0
"3 Bedroom house for sale in Schaapeneiland, Langebaan","Middedorp, 13 Schaapenzicht",4500000,3,2.0,0,0
"For the family that wants to live in style, this is it.",Vanderbijlpark SW 5,3450000,7,3.0,3,2
Executive living.,Beacon Bay,1095000,2,2.0,2,0
Executive lock up and go,Beacon Bay,1095000,2,2.0,2,0
Perfect house for the entertainer with flatlet,Parys,795000,4,2.5,2,2
A Stone Throw Away In The Center of Attraction!,"New Redruth, 29 Austell",1090000,2,2.0,2,0
Perfect Vacant Stand Available In Randjes North Right Now!,"Randjesfontein AH, 57 Everfair Avenue",1825000,0,0.0,0,0
Invest or occupy the apartment yourself,South Beach,290000,1,1.0,1,0
Designer Home in the Golf Estate,"Langebaan Country Estate, 703 Martilda Drive",4500000,3,3.0,4,3
Walmer R2 200 000,"Walmer, 46 River Road",2200000,4,2.0,2,2
Prime Position at the Waterfront,"Vaal Marina, 742 Perlemoen",2350000,4,5.0,2,0
Another great investment opportunity on the beach vicinity,South Beach,400000,2,1.5,2,0
Stone Throw From Future Nation School Fleurhof.,"Fleurhof, 32/OnFleur/41 Amaryllis Street",434000,2,1.0,1,0
Price Reduced by Thousands!,Arcadia,785000,4,2.0,1,0
Country living in the city!!!,"De La Haye, 2 Raeburn Street",2350000,4,2.0,1,0
Land for Sale,"Sarnia, 230 Underwood Road",1300000,0,0.0,0,0
Gorgeous views abound from every room,Warner Beach,1310000,2,2.0,2,1
Perfect Buy in Central Struisbaai,"Struisbaai, 34 Tornyn Street",2799000,3,3.0,3,2
Delightful & Pretty,"Lovemore Park, Unit 42/0 Saddlewood Villas",1295000,3,2.0,2,1
"3 Bedroom, 2 bathroom Townhouse (Pool in Complex)","Breaunanda, 8EagleView/13 Albida Place",799000,3,2.0,2,0
The quintessence of refined casual luxury,"La Lucia, 8 Glending Court, D24 La Palma Terraces",6850000,4,4.0,4,0
Seaside living at its best!,Jeffreys Bay Central,890000,2,1.0,1,1
1 Bedroom bedsitter unit  - Libertas Retirement Centre,"Townsend Estate, 411/23 Libertas Retirement Centre, Wallace Street",350000,1,1.0,0,0
Welcome Home,Vanderbijlpark SE 4,1720000,3,2.0,2,0
Spacious Home With Sea Views,"Treasure Beach, 81 treasure beach road",2500000,4,3.0,2,0
Low Maintenance House In Harbour Area!,"Stilbaai Wes, 34 Deining",3100000,5,4.5,5,2
Clever investment - Sandbaai - Hermanus,"Sandbaai, 2 Tapsell Street, Sundew Villas",655000,0,0.0,0,0
"A Spectacular, Modern, Private, Secure, Hidden Gem",Sarnia,2495000,4,4.0,4,0
Building opportunity with views in Erasmusrand,Erasmusrand,1430000,0,0.0,0,0
One bedroom apartment,Bracken Heights,799000,1,1.0,1,0
Seaforth Serenity,"Simons Town Central, 13 Bakoven Close",3950000,4,3.0,1,0
No transfer fees needed for this 2 bedroom apartment!!,"Marshalltown, 107/14 Harrison Street",720000,2,2.0,2,0
Exclusive Mandate!!! Fresh in the market,Evaton West,850000,3,2.0,2,2
Search no further,Ventersdorp,1345000,3,1.0,2,0
Excellent investment,Weavind Park,485000,2,1.0,1,1
Stunning Family home in Rayton,"Rayton, 130 Premier street",1200000,4,1.0,2,2
Abide in your little wonder!!!,Carrington Heights,750000,2,1.0,1,0
Investors Dream.,"Kaalfontein, 3544/20 Spade Fish",1800000,10,10.0,10,0
"Affordable, Safe townhouse",Parys,500000,2,1.0,1,1
"Upper class guest house in Banhoek Valley, Stellenbosch",Stellenbosch Farms,16500000,12,12.0,13,0
"Simple, beautiful apartment","Rewlatch, 38/12 Rewlatch road",570000,2,1.0,1,0
2 Bedroom 1 Bath Lenasia,"Lenasia Central, 20 Komati Crescent",389000,2,1.0,1,0
Simple beautiful apartment in Rewlatch,"Rewlatch, 54/12 Rewlatch road",520000,2,1.0,0,0
Copious Home with Indefinite Possibilities!,Kriel,1695000,3,5.0,5,0
Captivating Lifestyle!,"Ohenimuri, OHENIMURI/4 Len Avenue",1375000,5,3.0,0,0
They Don't Build Like This Anymore,Selcourt,2172000,4,2.5,3,2
Family home with character,Strand,2395000,3,2.0,3,1
5 Bedroom House For Sale in Albertinia!,Albertinia,1695000,5,2.0,2,2
Sought after area Close to everything,Dalview,1300000,4,2.0,3,2
Executive home with magnificent views,"Stanford, 2 Sannie Badenhorst Street",4800000,3,2.0,3,3
Luxury Home and Bed & Breakfast On The Golf Course,"Glenvista, 165 Mount Pellan",8500000,6,7.0,3,0
4 Bedroom family house,Safari Gardens,2150000,4,2.0,3,2
Beautiful Double Storey Home in Amberfield Crest,"Amberfield, 8/16 Spotted Eagle Street",2349000,3,2.0,3,2
3 Bedroom Home with Flatlet - Lenasia South,"Lenasia South, 29 Grosvenor Street",850000,3,2.0,3,0
"Stunning, Spacious, Super Condition!",Newlands,3400000,3,2.0,3,0
1351 sqm Stand for sale in Louis Trichardt,Louis Trichardt,980000,0,0.0,0,0
3 Bedroom house for sale.,Egerton,1098000,3,2.0,3,1
Investment property for sale !!!,Zwelitsha,1500000,13,1.0,2,0
4 Exclusive Homes in a Boutique Development,"Roundhay, 22 on Mountain Libertrau Road",3950000,3,2.0,2,2
Not A Cent To Be Spent,"Groblerpark, 743 Schlapo Street",765000,2,1.0,1,1
Spacious Double Storey Family Home with Pool,"Kyalami Hills, 36/36 Royal Kyalami Country Estate, Robin Avenue",2950000,4,3.0,1,0
Lock up and go,Helderwyk,615000,2,2.0,1,0
3 Bedroom house for sale in Napier,"Napier, 33 Krag",2150000,3,3.0,3,1
Great Investment Across The Street from Village Square Mall,"Randfontein Central, 4NormandyH/64 Porges Street",325000,2,1.0,1,0
Achieve The Altimate Dream!!!!,Three Rivers Proper,2200000,3,2.0,0,0
Set in a Commanding Position.,Wavecrest,495000,0,0.0,0,0
Well Priced! Don't Miss Out!,"Doornkop, 46327/6327 Doornkop",650000,3,1.0,2,0
Shareblock - Musgrave 1.5 Bedroom 1 Garage,Musgrave,650000,1,1.0,1,1
Well  situated. . . .,Huttenheights,1180000,4,2.0,0,0
"3rd Floor Apartment, Ideal for Youngsters.","Fleurhof, 48Fleurhof/33 Fever Tree Street",469000,2,1.0,1,0
Westbourne,Westbourne,1300000,4,1.0,0,0
Calling all investors!,Wavecrest,520000,0,0.0,0,0
Easy-living in the Marina,Marina Martinique,860000,2,1.0,0,0
"A 3 bed room,2 bath room,single garage town house up for sal",Huttenheights,1020000,3,2.0,2,1
Exclusive private River Front,Parys,2900000,3,2.0,3,2
Lovely 2 Bedroom flat for sale in Casseldale.,Casseldale,460000,2,1.0,1,0
"Plot For Sale in VoÃ«lklip, Hermanus","Voelklip, 218 7th Street",1200000,0,0.0,0,0
Family Home in Sought After Area,St Francis Bay Village,3500000,4,3.0,0,0
Vanderbijlpark SE7:Turn the key to profit,Vanderbijlpark SE 7,1490000,12,3.0,2,2
Family Home in a Fully Enclosed Garden in Port Alfred,"West Bank, 35 Boundary Road",1500000,3,2.0,2,2
Vacant Land For Sale,Selcourt,400000,0,0.0,0,0
Classic Large Family Home,Nelspruit,2795000,6,3.0,4,2
Elegant 3 Bedroom Home For Sale in Albertinia!,Albertinia,1480000,3,2.0,2,1
One Of Very Few Left In This Popular Street,"Struisbaai, 3330 Rita Street",395000,0,0.0,0,0
Modern with Stunning Finishes *,Fountains Estate,1525000,3,2.0,0,0
Home close to all amenities,Glenlilly,1250000,2,1.0,0,0
3 Bedroom morden  townhouse,Cambridge West,1200000,3,2.0,2,1
Luxury At Its Finest,"Table View, 209/87 Coral Road",6659999,2,2.0,1,1
Contemporary Home With A Dream Come True Location!,"Struisbaai, 14 Kusweg Suid",6370000,4,2.5,3,2
Your Own Peace Of Paradise Awaits You,"Struisbaai, 30 Keurtjie Avenue",3720000,4,3.0,3,2
Wonderful Location And Income Generator!,"Struisbaai, 90 Main Road",4775000,6,4.0,5,2
Cosy 2 bed on a big plot,Haven Hills,799000,2,1.0,1,0
Endless Opportunities Await,"Steynsvlei AH, 38 Russel Road",3900000,10,6.0,6,10
Looking for Combined Living or Guesthouse opportunity,Ridgeworth,3150000,6,6.0,0,0
Secluded Seaforth - Simon's Town,"Simons Town Central, 22 Churchill Avenue",4000000,3,1.0,2,1
Neat townhouse for sale in Comet Oaks,Comet,550000,2,1.0,1,0
"Sakabula Country Estate, Merrivale, Howick",Sakabula Golf & Country Estate,3495000,3,3.0,3,2
"Bergzicht Plaza, well priced","Stellenbosch Central, 43 Andringa Street",2800000,3,2.0,2,1
Lock Up and Go Lifestyle,Wavecrest,1800000,3,2.0,0,0
Views Extended Far Into The Distance,Paradise Beach,1990000,0,0.0,0,0
Development opportunity in the heart of Menlo Park,Menlo Park,4460000,0,0.0,0,0
Space galore and great potential for a granny flat!,Strand North,2120000,4,3.0,4,1
Ground floor corner unit in Germiston South,"Germiston South, 1 Azavedo court,  162 President street",430000,2,1.0,1,0
3 Bedroom House For Sale,The Wines,820000,3,2.0,2,0
Best value by Far - Now only R1450k edge of Constantiakloof,"Florida Park, 114 Golf Club Terrace",1450000,3,2.0,1,2
